date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:21	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2019:03:14%20GMT	https://web.archive.org/robots.txt		(from )
14:04:34	19541/19541	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20May%202025%2019:03:16%20GMT	https://web.archive.org/web/20020124172001/http://www.missouridems.org/	C:/My%20Web%20Sites/MissouriDems04/web.archive.org/web/20020124172001/http_/www.missouridems.org/index.html	(from )
14:04:35	24310/24310	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:05%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=zC7xTh84	C:/My%20Web%20Sites/MissouriDems04/web-static.archive.org/_static/js/bundle-playback5c82.js	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:35	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:09%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/MissouriDems04/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:36	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:05%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/MissouriDems04/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:37	9868/9868	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:43:09%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/MissouriDems04/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:38	5649/5649	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:42:57%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/MissouriDems04/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:03:32%20GMT	https://web.archive.org/web/20020124172001/http://www.missouridems.org/popup.htm	C:/My%20Web%20Sites/MissouriDems04/web.archive.org/web/20020124172001/http_/www.missouridems.org/popup.5.delayed	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:03:36%20GMT	https://web.archive.org/web/20020124172001cs_/http://www.missouridems.org/_themes/modems2/mode1111.css	C:/My%20Web%20Sites/MissouriDems04/web.archive.org/web/20020124172001cs_/http_/www.missouridems.org/_themes/modems2/mode1111.css	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
14:04:47	15014/15014	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20May%202025%2019:03:38%20GMT	https://web.archive.org/web/20020205015713cs_/http://www.missouridems.org/_themes/modems2/mode1111.css	C:/My%20Web%20Sites/MissouriDems04/web.archive.org/web/20020205015713cs_/http_/www.missouridems.org/_themes/modems2/mode1111.css	(from https://web.archive.org/web/20020124172001/http://www.missouridems.org/)
