date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:19	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2019:15:12%20GMT	https://web.archive.org/robots.txt		(from )
14:16:23	8808/8808	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20May%202025%2019:15:13%20GMT	https://web.archive.org/web/20020901083254/http://www.pcsigns.com/	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254/http_/www.pcsigns.com/index.html	(from )
14:16:24	24310/24310	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:09%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=zC7xTh84	C:/My%20Web%20Sites/PCSigns02/web-static.archive.org/_static/js/bundle-playback5c82.js	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:24	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:05%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/PCSigns02/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:25	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:38%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/PCSigns02/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:26	9868/9868	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:43:38%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/PCSigns02/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:27	5649/5649	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:43:38%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/PCSigns02/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:28	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:15:20%20GMT	https://web.archive.org/web/20020901083254cs_/http://www.pcsigns.com/pcsigns.css	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254cs_/http_/www.pcsigns.com/pcsigns.css	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:31	1097/1097	---MC-	200	added ('OK')	text/plain	date:Fri,%2016%20May%202025%2019:15:21%20GMT	https://web.archive.org/web/20020609065159cs_/http://www.pcsigns.com/pcsigns.css	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020609065159cs_/http_/www.pcsigns.com/pcsigns.css	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:15:24%20GMT	https://web.archive.org/web/20020901083254im_/http://www.pcsigns.com/Assets/images/newlogo.gif	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254im_/http_/www.pcsigns.com/Assets/images/newlogo.gif	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:37	7528/7528	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2019:15:27%20GMT	https://web.archive.org/web/20020901083623im_/http://www.pcsigns.com/Assets/images/newlogo.gif	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083623im_/http_/www.pcsigns.com/Assets/images/newlogo.gif	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:15:32%20GMT	https://web.archive.org/web/20020901083254im_/http://www.pcsigns.com/Assets/images/transparent.gif	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254im_/http_/www.pcsigns.com/Assets/images/transparent.gif	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:43	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2019:15:33%20GMT	https://web.archive.org/web/20020901083855im_/http://www.pcsigns.com/Assets/images/transparent.gif	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083855im_/http_/www.pcsigns.com/Assets/images/transparent.gif	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:15:37%20GMT	https://web.archive.org/web/20020901083254/http://www.pcsigns.com/index.htm	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254/http_/www.pcsigns.com/index.htm	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:15:38%20GMT	https://web.archive.org/web/20020901083254/http://www.pcsigns.com/contact.htm	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254/http_/www.pcsigns.com/contact.htm	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
14:16:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2019:15:42%20GMT	https://web.archive.org/web/20020901083254/http://www.pcsigns.com/order.htm	C:/My%20Web%20Sites/PCSigns02/web.archive.org/web/20020901083254/http_/www.pcsigns.com/order.htm	(from https://web.archive.org/web/20020901083254/http://www.pcsigns.com/)
