date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2017:55:03%20GMT	https://web.archive.org/robots.txt		(from )
12:56:15	16732/16732	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20May%202025%2017:55:04%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/index.html	(from )
12:56:16	24310/24310	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:42:57%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=zC7xTh84	C:/My%20Web%20Sites/mocert03/web-static.archive.org/_static/js/bundle-playback5c82.js	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:16	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:09%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/mocert03/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:17	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:05%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/mocert03/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:17	9868/9868	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:43:05%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/mocert03/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:18	5649/5649	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:42:57%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/mocert03/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:20	151008/151008	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2016%20May%202025%2017:55:12%20GMT	https://web.archive.org/web/20031010071003cs_/http://www.mocerf.org/_themes/mocerf/moce1111.css	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003cs_/http_/www.mocerf.org/_themes/mocerf/moce1111.css	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:20	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:55:13%20GMT	https://web.archive.org/web/20031010071003im_/http://www.mocerf.org/images/CERF_logo.jpg	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003im_/http_/www.mocerf.org/images/CERF_logo.jpg	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:56:28	111/111	---M--	404	error ('Object%20Not%20Found')	text/html	date:Fri,%2016%20May%202025%2017:55:18%20GMT	https://web.archive.org/web/20021013224925im_/http://mocerf.org/images/CERF_logo.jpg	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20021013224925im_/http_/mocerf.org/images/CERF_logo.jpg	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
